,basic-subset,location,extension,location-extension
CV - LinReg - Mean MAE,19702,22106,20520,1362362648445
CV - LinReg - Mean MAPE,200.49721970793547,229.00589664224063,207.9083105865829,19385562.65428311
CV - LinReg - Mean RMSE,39830,41616,40511,22051765619941
CV - LinReg - Mean R2Score,0.5343,0.4918,0.5195,-8.28008899330144e+17
CV - Tree - Mean MAE,24139,21525,22322,21083
CV - Tree - Mean MAPE,196.4629119371814,169.86896448897605,193.9279519763851,204.8757585641178
CV - Tree - Mean RMSE,53446,48581,50870,43900
CV - Tree - Mean R2Score,0.0539,0.2312,0.1737,0.4261
CV - RandForest - Mean MAE,21049,18906,18350,17534
CV - RandForest - Mean MAPE,190.99180432161356,185.91947035385607,185.5060840408357,209.21141490817837
CV - RandForest - Mean RMSE,45627,41859,40260,40597
CV - RandForest - Mean R2Score,0.3598,0.4786,0.5203,0.5085
CV - SVR - Mean MAE,27021,29151,25084,25621
CV - SVR - Mean MAPE,195.50907668210561,194.00719763490974,192.03226277834824,195.63764627849375
CV - SVR - Mean RMSE,49304,52336,47519,48836
CV - SVR - Mean R2Score,0.2786,0.1839,0.3289,0.2883
CV - KNN - Mean MAE,20775,19758,19771,18998
CV - KNN - Mean MAPE,169.36003597886813,170.76358461087185,169.7081786722026,184.92958578025952
CV - KNN - Mean RMSE,45256,43649,43638,41050
CV - KNN - Mean R2Score,0.3818,0.3921,0.4319,0.5016
CV - AdaBoost - Mean MAE,31253,29695,35091,35525
CV - AdaBoost - Mean MAPE,225.27730117085116,230.90998534352883,243.77634912052517,242.74637601470675
CV - AdaBoost - Mean RMSE,52315,49188,55005,53839
CV - AdaBoost - Mean R2Score,0.1487,0.2701,0.0708,0.0498
final-model,"KNeighborsRegressor(n_neighbors=10, p=1)","DecisionTreeRegressor(criterion='absolute_error', max_depth=10,
                      min_samples_split=4)","KNeighborsRegressor(n_neighbors=10, p=1)","KNeighborsRegressor(n_neighbors=10, p=3)"
Test-MAE,18549.37,18189.02,16650.14,16006.47
Test-MAPE,0.1878,0.1782,0.1754,0.1689
Test-RMSE,36281.27,36956.7,34177.79,33374.85
Test-N-RMSE,0.0659,0.0671,0.0621,0.0606
Test-IQR-RMSE,0.5782,0.589,0.5447,0.5319
Test-CV-RMSE,0.3702,0.3771,0.3487,0.3405
Test-R2,0.575,0.559,0.6228,0.6404
Training-Duration,8.472,78.687,34.219,71.584
Test-Duration,1.05223e-05,6.099e-07,1.91192e-05,0.0001954632
