,1+2,3
final-model,"RandomForestRegressor(bootstrap=False, criterion='poisson', max_features=18,
                      min_samples_split=9, n_estimators=122)","RandomForestRegressor(bootstrap=False, criterion='absolute_error',
                      max_features=23, min_samples_split=8, n_estimators=170)"
Test-MAE,11972.13,12528.42
Test-MAPE,0.1482,0.1486
Test-RMSE,17676.66,18110.64
Test-N-RMSE,0.0667,0.085
Test-IQR-RMSE,0.2865,0.3593
Test-CV-RMSE,0.194,0.2
Test-R2,0.8466,0.7831
Training-Duration,1116.365,1485.159
Test-Duration,3.63633E-05,5.47005E-05
